locations,count,rate,date,lat,lon
Unincorporated - Santa Catalina Island,NA,NA,2020-04-05T00:00:00Z,33.3878856,-118.4163103
Unincorporated - Santa Monica Mountains,5,26.48,2020-04-05T00:00:00Z,34.1029163,-118.7074214
Unincorporated - Saugus,NA,NA,2020-04-05T00:00:00Z,34.4135244,-118.5404007
Unincorporated - Saugus/Canyon Country,0,0,2020-04-05T00:00:00Z,34.3916641,-118.542586
Unincorporated - South Antelope Valley,0,0,2020-04-05T00:00:00Z,34.75444,-118.28861
Unincorporated - South El Monte,0,0,2020-04-05T00:00:00Z,34.0519548,-118.0467339
Unincorporated - South San Gabriel,5,58.2,2020-04-05T00:00:00Z,34.0492126,-118.0949198
Unincorporated - South Whittier,15,25.75,2020-04-05T00:00:00Z,33.9510283,-118.0402852
Unincorporated - Southeast Antelope Valley,0,0,2020-04-05T00:00:00Z,34.7513712,-118.2522977
Unincorporated - Stevenson Ranch,7,34.15,2020-04-05T00:00:00Z,34.3931105,-118.5907538
Unincorporated - Sun Village,NA,NA,2020-04-05T00:00:00Z,34.5579112,-117.9581853
Unincorporated - Sunrise Village,0,0,2020-04-05T00:00:00Z,33.9766398,-118.4139343
Unincorporated - Twin Lakes/Oat Mountain,NA,NA,2020-04-05T00:00:00Z,34.2780578,-118.6014769
Unincorporated - Val Verde,0,0,2020-04-05T00:00:00Z,34.4449952,-118.657589
Unincorporated - Valencia,NA,NA,2020-04-05T00:00:00Z,34.456151,-118.5713823
Unincorporated - Valinda,6,25.7,2020-04-05T00:00:00Z,34.0452924,-117.9430983
Unincorporated - View Park/Windsor Hills,12,118.81,2020-04-05T00:00:00Z,33.9942689,-118.344711
Unincorporated - Walnut Park,7,43.78,2020-04-05T00:00:00Z,33.9688867,-118.2224284
Unincorporated - West Antelope Valley,NA,NA,2020-04-05T00:00:00Z,34.0920367,-118.3090354
Unincorporated - West Carson,20,91.23,2020-04-05T00:00:00Z,33.8216836,-118.2925722
Unincorporated - West LA,NA,NA,2020-04-05T00:00:00Z,34.0412085,-118.442596
Unincorporated - West Puente Valley,NA,NA,2020-04-05T00:00:00Z,34.0561121,-117.9684985
Unincorporated - West Rancho Dominguez,NA,NA,2020-04-05T00:00:00Z,33.8939048,-118.2706282
Unincorporated - West Whittier/Los Nietos,8,30.11,2020-04-05T00:00:00Z,33.9800552,-118.0679147
Unincorporated - Westfield/Academy Hills,0,0,2020-04-05T00:00:00Z,34.0736204,-118.4003563
Unincorporated - Westhills,0,0,2020-04-05T00:00:00Z,34.1973122,-118.6439809
Unincorporated - White Fence Farms,0,0,2020-04-05T00:00:00Z,34.6560661,-118.2120763
Unincorporated - Whittier,NA,NA,2020-04-05T00:00:00Z,33.9510283,-118.0402852
Unincorporated - Willowbrook,12,34.7,2020-04-05T00:00:00Z,33.9169602,-118.2550726
Unincorporated - Wiseburn,NA,NA,2020-04-05T00:00:00Z,33.9161251,-118.3695196
- Under Investigation,614,NA,2020-04-05T00:00:00Z,NA,NA
