locations,count,rate,date,lat,lon
Los Angeles - Los Feliz,19,89.03,2020-04-05T00:00:00Z,34.1063307,-118.2848199
Los Angeles - Manchester Square,NA,NA,2020-04-05T00:00:00Z,33.899321,-118.297679
Los Angeles - Mandeville Canyon,NA,NA,2020-04-05T00:00:00Z,34.0964803,-118.5024535
Los Angeles - Mar Vista,25,59.68,2020-04-05T00:00:00Z,34.0152567,-118.4338345
Los Angeles - Marina Peninsula,6,136.58,2020-04-05T00:00:00Z,33.9796978,-118.4656574
Los Angeles - Melrose,140,180.33,2020-04-05T00:00:00Z,34.0834668,-118.3385396
Los Angeles - Mid-city,21,139.42,2020-04-05T00:00:00Z,34.0416097,-118.3286614
Los Angeles - Miracle Mile,17,96.22,2020-04-05T00:00:00Z,34.059534,-118.3491169
Los Angeles - Mission Hills,12,50.05,2020-04-05T00:00:00Z,34.2722582,-118.4688776
Los Angeles - Mt. Washington,8,33.43,2020-04-05T00:00:00Z,34.0991764,-118.2203511
Los Angeles - North Hills,22,36.11,2020-04-05T00:00:00Z,34.235822,-118.4849365
Los Angeles - North Hollywood,91,60.12,2020-04-05T00:00:00Z,34.187044,-118.3812562
Los Angeles - Northridge,23,33.95,2020-04-05T00:00:00Z,34.2381251,-118.530123
Los Angeles - Pacific Palisades,26,125.58,2020-04-05T00:00:00Z,34.0356331,-118.5155901
Los Angeles - Pacoima,30,37.53,2020-04-05T00:00:00Z,34.2767691,-118.4104684
Los Angeles - Palisades Highlands,NA,NA,2020-04-05T00:00:00Z,34.0356331,-118.5155901
Los Angeles - Palms,41,90.79,2020-04-05T00:00:00Z,34.0244133,-118.4075474
Los Angeles - Panorama City,33,43.42,2020-04-05T00:00:00Z,34.227617,-118.442425
Los Angeles - Park La Brea,8,58.89,2020-04-05T00:00:00Z,34.0700469,-118.3552194
Los Angeles - Pico-Union,21,49.29,2020-04-05T00:00:00Z,34.0442532,-118.2892349
Los Angeles - Playa Del Rey,NA,NA,2020-04-05T00:00:00Z,33.9564194,-118.4422317
Los Angeles - Playa Vista,8,80.13,2020-04-05T00:00:00Z,33.9753949,-118.4192311
Los Angeles - Porter Ranch,21,63.24,2020-04-05T00:00:00Z,34.2822134,-118.5506158
Los Angeles - Rancho Park,7,104.48,2020-04-05T00:00:00Z,34.0454302,-118.4206915
Los Angeles - Regent Square,NA,NA,2020-04-05T00:00:00Z,34.0243952,-118.4027911
Los Angeles - Reseda,38,50.16,2020-04-05T00:00:00Z,34.2011141,-118.5360517
Los Angeles - Reseda Ranch,NA,NA,2020-04-05T00:00:00Z,34.1279987,-118.3158935
Los Angeles - Reynier Village,NA,NA,2020-04-05T00:00:00Z,34.0367653,-118.3855613
Los Angeles - San Pedro,26,33.41,2020-04-05T00:00:00Z,33.7360619,-118.2922461
Los Angeles - Shadow Hills,5,108.89,2020-04-05T00:00:00Z,34.2575262,-118.3549609
Los Angeles - Sherman Oaks,56,65.91,2020-04-05T00:00:00Z,34.1489719,-118.451357
Los Angeles - Silverlake,55,127.35,2020-04-05T00:00:00Z,34.0869409,-118.2702036
Los Angeles - South Carthay,20,188.75,2020-04-05T00:00:00Z,34.0561214,-118.3734109
Los Angeles - South Park,22,56.28,2020-04-05T00:00:00Z,33.996523,-118.2739662
Los Angeles - St Elmo Village,NA,NA,2020-04-05T00:00:00Z,34.043142,-118.343027
Los Angeles - Studio City,21,98.12,2020-04-05T00:00:00Z,34.1395597,-118.3870991
Los Angeles - Sun Valley,18,32.61,2020-04-05T00:00:00Z,34.2279298,-118.3812562
Los Angeles - Sunland,13,63.38,2020-04-05T00:00:00Z,34.2596475,-118.3082747
Los Angeles - Sycamore Square,0,0,2020-04-05T00:00:00Z,34.0623863,-118.3429406
Los Angeles - Sylmar,61,73.72,2020-04-05T00:00:00Z,34.3058279,-118.4571974
Los Angeles - Tarzana,37,122.41,2020-04-05T00:00:00Z,34.1494848,-118.5506158
Los Angeles - Temple-Beaudry,24,61.56,2020-04-05T00:00:00Z,34.062889,-118.251274
Los Angeles - Thai Town,5,51.67,2020-04-05T00:00:00Z,34.1018097,-118.3035723
Los Angeles - Toluca Lake,6,73,2020-04-05T00:00:00Z,34.1501794,-118.3549609
Los Angeles - Toluca Terrace,0,0,2020-04-05T00:00:00Z,34.1667984,-118.3589046
Los Angeles - Toluca Woods,0,0,2020-04-05T00:00:00Z,34.1605876,-118.3593437
Los Angeles - Tujunga,10,35.49,2020-04-05T00:00:00Z,34.2596475,-118.3082747
Los Angeles - University Hills,0,0,2020-04-05T00:00:00Z,34.0666868,-118.1682384
Los Angeles - University Park,16,59.43,2020-04-05T00:00:00Z,34.0309703,-118.2789735
Los Angeles - Valley Glen,21,70.36,2020-04-05T00:00:00Z,34.186682,-118.4138149
Los Angeles - Valley Village,30,128.05,2020-04-05T00:00:00Z,34.1633045,-118.3841777
Los Angeles - Van Nuys,36,38.77,2020-04-05T00:00:00Z,34.1898566,-118.451357
Los Angeles - Venice,25,73.24,2020-04-05T00:00:00Z,33.9850469,-118.4694832
Los Angeles - Vermont Knolls,12,67.15,2020-04-05T00:00:00Z,33.9273339,-118.2892821
Los Angeles - Vermont Square,6,78.53,2020-04-05T00:00:00Z,34.0037041,-118.3002039
Los Angeles - Vermont Vista,14,33.6,2020-04-05T00:00:00Z,33.9454927,-118.2826668
